date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T_out,Hour,Day_of_week
1/11/2016 17:00,60,30,19.89,47.59666667,19.2,44.79,19.79,44.73,6.60E+00,17,2
1/11/2016 17:10,60,30,19.89,46.69333333,19.2,44.7225,19.79,44.79,6.48E+00,17,2
1/11/2016 17:20,50,30,19.89,46.3,19.2,44.62666667,19.79,44.93333333,6.37E+00,17,2
1/11/2016 17:30,50,40,19.89,46.06666667,19.2,44.59,19.79,45,6.25E+00,17,2
1/11/2016 17:40,60,40,19.89,46.33333333,19.2,44.53,19.79,45,6.13E+00,17,2
1/11/2016 17:50,50,40,19.89,46.02666667,19.2,44.5,19.79,44.93333333,6.02E+00,17,2
1/11/2016 18:00,60,50,19.89,45.76666667,19.2,44.5,19.79,44.9,5.90E+00,18,2
1/11/2016 18:10,60,50,19.85666667,45.56,19.2,44.5,19.73,44.9,5.92E+00,18,2
1/11/2016 18:20,60,40,19.79,45.5975,19.2,44.43333333,19.73,44.79,5.93E+00,18,2
1/11/2016 18:30,70,40,19.85666667,46.09,19.23,44.4,19.79,44.86333333,5.95E+00,18,2
1/11/2016 18:40,230,70,19.92666667,45.86333333,19.35666667,44.4,19.79,44.9,5.97E+00,18,2
1/11/2016 18:50,580,60,20.06666667,46.39666667,19.42666667,44.4,19.79,44.82666667,5.98E+00,18,2
1/11/2016 19:00,430,50,20.13333333,48,19.56666667,44.4,19.89,44.9,6.00E+00,19,2
1/11/2016 19:10,250,40,20.26,52.72666667,19.73,45.1,19.89,45.49333333,6.00E+00,19,2
1/11/2016 19:20,100,10,20.42666667,55.89333333,19.85666667,45.83333333,20.03333333,47.52666667,6.00E+00,19,2
1/11/2016 19:30,100,10,20.56666667,53.89333333,20.03333333,46.75666667,20.1,48.46666667,6.00E+00,19,2
1/11/2016 19:40,90,10,20.73,52.66,20.16666667,47.22333333,20.2,48.53,6.00E+00,19,2
1/11/2016 19:50,70,30,20.85666667,53.66,20.2,47.05666667,20.2,48.4475,6.00E+00,19,2
1/11/2016 20:00,80,30,20.89,51.19333333,20.2,46.33,20.2,48.19333333,6.00E+00,20,2
1/11/2016 20:10,140,40,20.89,49.8,20.2,46.02666667,20.16666667,47.63333333,6.00E+00,20,2
1/11/2016 20:20,120,20,20.89,48.43333333,20.2,45.7225,20.16666667,47.3,6.00E+00,20,2
1/11/2016 20:30,190,40,20.96333333,47.63333333,20.26,45.53,20.2,47.02666667,6.00E+00,20,2
1/11/2016 20:40,110,40,21.03333333,47.06333333,20.29,45.22333333,20.26,46.82666667,6.00E+00,20,2
1/11/2016 20:50,110,40,21.1,46.59666667,20.35666667,44.96333333,20.29,46.63333333,6.00E+00,20,2
1/11/2016 21:00,110,30,21.13333333,46.06,20.42666667,44.76,20.29,46.43333333,6.00E+00,21,2
1/11/2016 21:10,110,20,21.2,45.8,20.5,44.76,20.39,46.22333333,5.93E+00,21,2
1/11/2016 21:20,100,30,21.29,45.9,20.53333333,45.09,20.39,46.09,5.87E+00,21,2
1/11/2016 21:30,100,20,21.35666667,45.82666667,20.66666667,45.16333333,20.39,46.09,5.80E+00,21,2
